HitName
"ABBAS, Abu"
"AL RAHMAN, Shaykh Umar Abd"
"AL ZAWAHIRI, Dr. Ayman"
"AL-ZOMOR, Abboud Abdul Latif Hassan"
"AWDA, Abd Al Aziz"
"FADLALLAH, Shaykh Muhammad Husayn"
"HAWATMA, Nayif"
"ISLAMBOULI, Mohammad Shawqi"
"JABRIL, Ahmad"
"NAJI, Talal Muhammad Rashid"
"NASRALLAH, Hasan"
"TUFAYLI, Subhi"
"YASSIN, Sheik Ahmed Ismail"
"ABU MARZOOK, Mousa Mohammed"
"RODRIGUEZ OREJUELA, Miguel Angel"
"ABDALLAH, Ramadan"
"BIN LADIN, Usama bin Muhammad bin Awad"
"AL-MASRI, Abu Hafs"
"MUSA, Rifa'i Ahmad Taha"
"OMAR, Mohammed"
"AMEZCUA CONTRERAS, Jose de Jesus"
"AMEZCUA CONTRERAS, Luis Ignacio"
"CARO QUINTERO, Rafael"
"CARRILLO FUENTES, Vicente"
"WEI, Hsueh Kang"
"ARELLANO FELIX, Benjamin Alberto"
"HENAO MONTOYA, Arcangel de Jesus"
"PATINO FOMEQUE, Victor Julio"
"DUQUE BOTERO, Jorge Alirio"
"CARDENAS GUILLEN, Osiel"
"CARO QUINTERO, Miguel Angel"
"GUZMAN LOERA, Joaquin"
"MALHERBE DE LEON, Oscar"
"RAMON MAGANA, Alcides"
"AL-ADL, Sayf"
"AL-WALID, Mahfouz Ould"
"HUSAYN, Zayn al-Abidin Muhammad"
"AL-IRAQI, Abd al-Hadi"
"SHIHATA, Thirwat Salah"
"AHMAD, Tariq Anwar al-Sayyid"
"ABDULLAH, Abdullah Ahmed"
"ALI, Ahmed Mohammed Hamed"
"AL-MUGHASSIL, Ahmad Ibrahim"
"AL-NASSER, Abdelkarim Hussein Mohamed"
"AL-YACOUB, Ibrahim Salih Mohammed"
"ATWA, Ali"
"EL-HOORIE, Ali Saed Bin Ali"
"FADHIL, Mustafa Mohamed"
"GHAILANI, Ahmed Khalfan"
"IZZ-AL-DIN, Hasan"
"MOHAMMED, Fazul Abdullah"
"MOHAMMED, Khalid Shaikh"
"YASIN, Abdul Rahman"
"AGHA, Haji Abdul Manan"
"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq"
"AL-HAQ, Amin"
"HAMDAN, Salim Ahmad Salim"
"AL-SHARIF, Sa'd Abdullah Hussein"
"BIN MARWAN, Bilal"
"BIN MUHAMMAD, Ayadi Chafiq"
"DARKAZANLI, Mamoun"
"HIJAZI, Riad"
"UTHMAN, Omar Mahmoud"
"AWEYS, Hassan Dahir"
"MAHMOOD, Sultan Bashir-Ud-Din"
"MAJEED, Abdul"
"BOULGHITI, Boubekeur"
"AL-LIBI, Abd al-Muhsin"
"AGUILAR AMAO, Miguel"
"AGUIRRE GALINDO, Manuel"
"ARELLANO FELIX, Enedina"
"FREGOSO AMEZQUITA, Maria Antonieta"
"GIL GARCIA, Jose Alejandro"
"HERNANDEZ PULIDO, Maria Elda"
"MIJARES TRANCOSO, Gilberto"
"MORENO MEDINA, Luis Ignacio"
"OROPEZA MEDRANO, Francisco Javier"
"RAMIREZ AGUIRRE, Sergio Humberto"
"TOLEDO CARREJO, Luis Raul"
"ABAUNZA MARTINEZ, Javier"
"ALBERDI URANGA, Itziar"
"ALCALDE LINARES, Angel"
"ALBISU IRIARTE, Miguel"
"ARZALLUS TAPIA, Eusebio"
"ELCORO AYASTUY, Paulo"
"FIGAL ARRANZ, Antonio Agustin"
"GOGEASCOECHEA ARRONATEGUI, Eneko"
"GOIRICELAYA GONZALEZ, Cristina"
"IPARRAGUIRRE GUENECHEA, Maria Soledad"
"MORCILLO TORRES, Gracia"
"MUGICA GONI, Ainhoa"
"MUNOA ORDOZGOITI, Alona"
"NARVAEZ GONI, Juan Jesus"
"OLARRA GURIDI, Juan Antonio"
"ORBE SEVILLANO, Zigor"
"OTEGUI UNANUE, Mikel"
"PEREZ ARAMBURU, Jon Inaki"
"SAEZ DE EGUILAZ MURGUIONDO, Carlos"
"URANGA ARTOLA, Kemen"
"VILA MICHELENA, Fermin"
"AOUADI, Mohamed Ben Belgacem"
"BEN HENI, Lased"
"BOUCHOUCHA, Mokhtar"
"ES SAYED, Abdelkader Mahmoud"
"ESSID, Sami Ben Khemais"
"AL-FAWAZ, Khalid Abd al-Rahman Hamd"
"AL-MASRI, Abu Hamza"
"APAOLAZA SANCHO, Ivan"
"BERASATEGUI ESCUDERO, Ismael"
"GALLASTEGUI SODUPE, Lexuri"
"PALACIOS ALDAY, Gorka"
"QUINTANA ZORROZUA, Asier"
"RUBENACH ROIG, Juan Luis"
"ZUBIAGA BRAVO, Manex"
"DA COSTA, Luis Fernando"
